City,County,Street,HouseCount,Link,Price EUR,Price per m2,Rooms,Area m2,Floor,Total floors,Flat number,House number,Year,Building type,Heating,Installation type,Specials,Extra quarters,Extra equipment,Security,Upload date,Modify date,Memorized count,Views,Telephone,Coordinates
Vilnius, Pilaitė,Pilkalnio g.,10,https://www.aruodas.lt/butai-vilniuje-pilaiteje-pilkalnio-g-nok-nok-home-jauki-anglisku-butu-1-2759679/,85274,1496,3,57,1,3,27,5,2019,Mūrinis,Aeroterminis,Dalinė apdaila,Atskiras įėjimas Butas per kelis aukštus Uždaras kiemas,Sandėliukas Terasa Vieta automobiliui,-,Videokameros,7/29/2019,8/19/2019,3,2114,37065937360,54.709599  25.16517
Kaunas, Šilainiai,Mikėnų aklg.,10,https://www.aruodas.lt/butai-kaune-silainiuose-mikenu-aklg-labai-gera-kaina-parduodamas-2-k-kaunas-1-2769683/,57000,1140,2,50,2,2,-,-,2019,Mūrinis,Dujinis,Įrengtas,-,-,-,-,8/18/2019,8/18/2019,5,598,37060500067,-
Kaunas, Šilainiai,Skalvių g.,9,https://www.aruodas.lt/butai-kaune-silainiuose-skalviu-g-kauno-mieste-naujai-pastatytas-prabangus-1-2769439/,93600,1440,3,65,1,2,-,30,2019,Mūrinis,Dujinis,Dalinė apdaila,Atskiras įėjimas Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas,Sandėliukas Terasa Vieta automobiliui,Šildomos grindys,Šarvuotos durys Signalizacija,8/16/2019,8/19/2019,2,891,37067425195,54.930945  23.884296
Kaunas, Šilainiai,Skalvių g.,9,https://www.aruodas.lt/butai-kaune-silainiuose-skalviu-g-kauno-mieste-naujai-pastatytas-prabangus-1-2769715/,96280,1660,3,58,2,2,-,20,2019,Mūrinis,Dujinis,Įrengtas,Atskiras įėjimas Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Internetas Virtuvė sujungta su kambariu,Sandėliukas Terasa Vieta automobiliui,Skalbimo mašina Šaldytuvas Šildomos grindys Virtuvės komplektas Viryklė Plastikiniai vamzdžiai Indaplovė Vonia,Šarvuotos durys Signalizacija,8/18/2019,8/18/2019,5,877,37067425195,54.930655 23.883905
Kaunas, Šilainiai,Skalvių g.,9,https://www.aruodas.lt/butai-kaune-silainiuose-skalviu-g-kauno-mieste-naujai-pastatytas-prabangus-1-2769723/,47250,1350,2,35,2,2,-,22,2019,Mūrinis,Dujinis,Dalinė apdaila,Atskiras įėjimas Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Internetas,Sandėliukas Terasa Vieta automobiliui,Šildomos grindys,Šarvuotos durys Signalizacija,8/18/2019,8/19/2019,3,757,37067425195,54.93062  23.883561
Kaunas, Šilainiai,Skalvių g.,9,https://www.aruodas.lt/butai-kaune-silainiuose-skalviu-g-kauno-mieste-naujai-pastatytas-prabangus-1-2769711/,73660,1270,3,58,2,2,-,24,2019,Mūrinis,Dujinis,Dalinė apdaila,Atskiras įėjimas Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas,Sandėliukas Terasa Vieta automobiliui,Šildomos grindys Plastikiniai vamzdžiai,Šarvuotos durys Signalizacija,8/18/2019,8/19/2019,1,338,37067425195,54.930743  23.883806
Kaunas, Žaliakalnis,Vaižganto g.,8,https://www.aruodas.lt/butai-kaune-zaliakalnyje-vaizganto-g-galimybe-isirengti-net-tris-miegamuosius-1-2649301/,141990,1802,3,78.78,2,4,-,11,2018,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,7/15/2019,8/14/2019,20,1862,37061955168,54.894752 23.934497
Klaipėda, Mažasis kaimelis,Panevėžio g.,8,https://www.aruodas.lt/butai-klaipedoje-mazajame-kaimelyje-panevezio-g-naujas-2-ju-kamb-butas-prie-danes-upes-1-2705357/,89000,1654,2,53.8,2,5,-,25D,2018,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Kabelinė televizija Virtuvė sujungta su kambariu,Balkonas,Plastikiniai vamzdžiai,Šarvuotos durys Kodinė laiptinės spyna,4/9/2019,8/19/2019,4,4611,37069878092,55.735227 21.144263
Klaipėda, Mažasis kaimelis,Panevėžio g.,8,https://www.aruodas.lt/butai-klaipedoje-mazajame-kaimelyje-panevezio-g-naujas-3-ju-kamb-butas-prie-danes-upes-1-2697345/,107000,1678,3,63.76,4,5,-,25D,2018,Blokinis,Centrinis kolektorinis,Dalinė apdaila,Aukštos lubos Nauja elektros instaliacija Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Balkonas,Plastikiniai vamzdžiai,Šarvuotos durys Signalizacija Kodinė laiptinės spyna,3/27/2019,8/19/2019,10,6449,37069878092,55.735227 21.144263
Klaipėda, Mažasis kaimelis,Panevėžio g.,8,https://www.aruodas.lt/butai-klaipedoje-mazajame-kaimelyje-panevezio-g-paskutinis-statomas-namas-danges-vingio-1-2760853/,119000,1889,3,63,4,5,-,25G,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Balkonas,Plastikiniai vamzdžiai,Šarvuotos durys Kodinė laiptinės spyna,7/30/2019,8/19/2019,1,851,37069878092,55.735227 21.144263
Klaipėda, Mažasis kaimelis,Panevėžio g.,8,https://www.aruodas.lt/butai-klaipedoje-mazajame-kaimelyje-panevezio-g-butas-prie-danes-upes-2-ju-kamb-su-lauko-1-2685797/,90000,1665,2,54.04,1,5,-,-,2015,Blokinis,Centrinis kolektorinis,Dalinė apdaila,Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Terasa,Plastikiniai vamzdžiai,Šarvuotos durys Kodinė laiptinės spyna,3/5/2019,8/19/2019,1,3196,37069878092,55.735849 21.14402
Klaipėda, Mažasis kaimelis,Žolynų g.,8,https://www.aruodas.lt/butai-klaipedoje-mazajame-kaimelyje-zolynu-g-jaukus-butas-nuostabioje-vietojegamtos-1-2767939/,105000,1567,3,67,3,5,-,-,2006,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Balkonas Vieta automobiliui,Šaldytuvas Šildomos grindys Virtuvės komplektas Viryklė Dušo kabina,Šarvuotos durys Kodinė laiptinės spyna,8/13/2019,8/19/2019,-,393,37060621274,-
Klaipėda, Šauliai,Ragainės g.,8,https://www.aruodas.lt/butai-klaipedoje-sauliuose-ragaines-g-a-klases-butai-statome-ir-parduodame-butai-1-2498995/,49990,1190,2,42,3,4,-,12,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,4/18/2018,8/16/2019,36,33254,37063172236,55.732784 21.176993
Vilnius, Antakalnis,Antakalnio g.,7,https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-naujas-isskirtinis-biuru-ir-butu-kompleksas-1-2713185/,63400,2400,1,26.42,5,5,-,48A,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,8/12/2019,8/19/2019,15,119,37062676029,54.704323 25.310023
Vilnius, Markučiai,Manufaktūrų g.,7,https://www.aruodas.lt/butai-vilniuje-markuciuose-manufakturu-g-parduodamas-1-o-kambario-butas-su-jau-atlikta-1-2716613/,97000,2636,1,36.8,2,5,7,26,2018,Blokinis,Centrinis,Įrengtas,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija Virtuvė sujungta su kambariu,-,Šaldytuvas Šildomos grindys Virtuvės komplektas Viryklė Plastikiniai vamzdžiai Indaplovė Dušo kabina,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/12/2019,8/19/2019,10,1192,37068657157,54.677276 25.32038
Vilnius, Pašilaičiai,Pavilnionių g.,7,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-pavilnioniu-g-projekto-aprasymas-projekto-vystytojas-uab-1-2762443/,95000,1253,3,75.81,2,5,-,-,2018,Monolitinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,8/1/2019,8/9/2019,5,1153,37060575555,54.735412 25.214691
Vilnius, Pašilaičiai,Pavilnionių g.,7,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-pavilnioniu-g-projekto-aprasymas-projekto-vystytojas-uab-1-2762457/,66000,1339,2,49.3,2,5,-,-,2018,Monolitinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,8/1/2019,8/9/2019,7,870,37060575555,-
Vilnius, Pašilaičiai,Pavilnionių g.,7,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-pavilnioniu-g-projekto-aprasymas-projekto-vystytojas-uab-1-2762459/,59000,1527,2,38.64,2,5,-,-,2018,Monolitinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,8/1/2019,8/9/2019,-,774,37060575555,54.735412 25.214691
Vilnius, Pašilaičiai,Pavilnionių g.,7,https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-pavilnioniu-g-projekto-aprasymas-projekto-vystytojas-uab-1-2762461/,50700,1593,1,31.82,2,5,-,-,2018,Monolitinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,8/1/2019,8/9/2019,3,667,37060575555,54.735412 25.214691
Vilnius, Pilaitė,Valtarkiemio g.,7,https://www.aruodas.lt/butai-vilniuje-pilaiteje-valtarkiemio-g-pastatyti-ir-100-priduoti-butai-martyno-1-2764033/,75100,1455,2,51.63,4,5,28,7,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,8/5/2019,8/19/2019,1,465,37062066611,54.712091 25.177052
Vilnius, Užupis,Manufaktūrų g.,7,https://www.aruodas.lt/butai-vilniuje-uzupyje-manufakturu-g-parduodamas-butas-jau-pastatytame-name-su-1-2498809/,174000,2210,3,78.74,2,4,-,26,2018,Blokinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija,Balkonas,Šildomos grindys Plastikiniai vamzdžiai,Šarvuotos durys Kodinė laiptinės spyna Videokameros,6/18/2019,8/19/2019,22,787,37068657157,54.677276 25.32038
Klaipėda, Varpai,Varpų g.,7,https://www.aruodas.lt/butai-klaipedoje-varpuose-varpu-g-statinio-uzbaigimo-aktu-namas-valstybines-1-2768829/,66900,1660,2,40.31,3,5,22,4B,2019,Mūrinis,Centrinis kolektorinis,Įrengtas,Virtuvė sujungta su kambariu,Balkonas,Vonia,Kodinė laiptinės spyna,8/14/2019,8/19/2019,2,629,37061499096,55.666036 21.183899
Klaipėda, Centras,Sausio 15-osios g.,7,https://www.aruodas.lt/butai-klaipedoje-centre-sausio-15-osios-g-naujos-statybos-name-centre-sausio-15-1-2767941/,104999,1567,3,67,3,6,-,-,2005,Mūrinis,Centrinis kolektorinis,Įrengtas,Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Kabelinė televizija Virtuvė sujungta su kambariu,Balkonas Drabužinė,Su baldais Šildomos grindys Virtuvės komplektas Viryklė Plastikiniai vamzdžiai Vonia,Šarvuotos durys Signalizacija Kodinė laiptinės spyna,8/13/2019,8/19/2019,1,278,37060621274,-
Vilnius, Pilaitė,Gilužio g.,7,https://www.aruodas.lt/butai-vilniuje-pilaiteje-giluzio-g-giluzio-rivjera-unikali-mazaaukstes-1-2738609/,73000,1510,2,48.34,3,3,-,-,2019,Mūrinis,Dujinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Internetas Virtuvė sujungta su kambariu,Balkonas Drabužinė,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,6/13/2019,8/19/2019,18,2304,37062839952,-
Vilnius, Šeškinė,Ozo g.,7,https://www.aruodas.lt/butai-vilniuje-seskineje-ozo-g-naujiena-rinkoje-nuo-seskines-kalvu-link-1-2766533/,57000,1435,2,39.71,1,5,B110,41,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Internetas Virtuvė sujungta su kambariu,Balkonas Drabužinė,-,Šarvuotos durys Kodinė laiptinės spyna,8/9/2019,8/19/2019,28,2006,37062839952,54.708342  25.241659
Vilnius, Šnipiškės,Ceikinių g.,7,https://www.aruodas.lt/butai-vilniuje-snipiskese-ceikiniu-g-parduodamas-irengtas-2-kambariu-butas-centre-1-2745445/,198000,3414,2,58,3,5,-,5,2019,Monolitinis,Centrinis kolektorinis,Įrengtas,Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Virtuvė sujungta su kambariu,Balkonas Drabužinė,Su baldais Šaldytuvas Šildomos grindys Virtuvės komplektas Viryklė Indaplovė Vonia,Šarvuotos durys Kodinė laiptinės spyna Videokameros,6/28/2019,8/14/2019,32,9084,37069017025,54.693882 25.287498
Vilnius, Antakalnis,Antakalnio g.,7,https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-naujas-isskirtinis-biuru-ir-butu-kompleksas-1-2714061/,122900,2100,3,58.52,4,5,2,48A,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija,-,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/13/2019,8/13/2019,17,368,37061833732,54.704323 25.310023
Vilnius, Antakalnis,Antakalnio g.,7,https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-naujas-isskirtinis-biuru-ir-butu-kompleksas-1-2714065/,79000,2098,2,37.65,4,5,5,48A,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija,-,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,8/13/2019,8/13/2019,17,387,37061833732,54.704323 25.310023
Palanga,-,Mokyklos g.,7,https://www.aruodas.lt/butai-palangoje-mokyklos-g-kvieciu-jus-susipazinti-su-elijos-projektu-1-2747761/,50992,1600,1,31.87,3,8,24,62,2020,Mūrinis,Dujinis,Įrengtas,Nauja kanalizacija Nauja elektros instaliacija Virtuvė sujungta su kambariu,-,Šaldytuvas Šildomos grindys Virtuvės komplektas Plastikiniai vamzdžiai Dušo kabina,Signalizacija Kodinė laiptinės spyna,7/23/2019,8/14/2019,6,2809,37061688858,56.016292 21.080489
Kaunas, Šilainiai,Mikėnų aklg.,7,https://www.aruodas.lt/butai-kaune-silainiuose-mikenu-aklg-labai-gera-kaina-parduodamas-2-k-butas-1-2769681/,42300,900,2,47,1,2,-,-,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,8/18/2019,8/18/2019,2,170,37060500067,-
Kaunas, Žemutiniai Kaniūkai,Įkalnės aklg.,6,https://www.aruodas.lt/butai-kaune-zemutiniuose-kaniukuose-ikalnes-aklg-parduodamas-naujas-isskirtinai-erdvus-ir-1-2702281/,126269,1100,4,114.79,4,4,12,4,2018,Mūrinis,Dujinis,Dalinė apdaila,Aukštos lubos Butas per kelis aukštus Nauja kanalizacija Nauja elektros instaliacija,Sandėliukas Balkonas Terasa Vieta automobiliui,-,Šarvuotos durys Kodinė laiptinės spyna,5/22/2019,8/12/2019,7,3364,37068739883,54.922482 23.813284
Kaunas, Žemutiniai Kaniūkai,Įkalnės aklg.,6,https://www.aruodas.lt/butai-kaune-zemutiniuose-kaniukuose-ikalnes-aklg-parduodamas-naujas-6046-kv-m-butas-1-2727437/,69960,1160,3,60.31,1,4,2,3,2018,Mūrinis,Dujinis,Dalinė apdaila,Aukštos lubos Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas,Sandėliukas Balkonas,Šildomos grindys,Šarvuotos durys Kodinė laiptinės spyna,6/25/2019,8/12/2019,22,5758,37068739883,54.921442 23.813786
Kaunas, Šilainiai,Kalnų g.,6,https://www.aruodas.lt/butai-kaune-silainiuose-kalnu-g-akaciju-vilos-tai-bustas-vienoje-1-2669975/,122472,1425,3,85.96,1,4,1,56A,2017,Mūrinis,Dujinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas,Sandėliukas Terasa Vieta automobiliui,Šildomos grindys,Šarvuotos durys Kodinė laiptinės spyna,3/12/2019,8/9/2019,11,3543,37068739883,54.912683 23.864441
Vilnius, Pilaitė,Tolminkiemio g.,6,https://www.aruodas.lt/butai-vilniuje-pilaiteje-tolminkiemio-g-uab-vilmestos-projektai-parduoda-buta-1-2637389/,64000,1396,2,45.84,1,4,-,35,2018,Blokinis,Centrinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Terasa,Šildomos grindys Plastikiniai vamzdžiai Vonia,Šarvuotos durys Kodinė laiptinės spyna,8/12/2019,8/19/2019,86,776,37068657157,-
Vilnius, Pilaitė,Tolminkiemio g.,6,https://www.aruodas.lt/butai-vilniuje-pilaiteje-tolminkiemio-g-uab-vilmestos-projektai-parduoda-buta-1-2638025/,90000,1490,3,60.4,4,4,-,35,2019,Blokinis,Centrinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Balkonas Vieta automobiliui,-,Šarvuotos durys Kodinė laiptinės spyna,6/21/2019,8/19/2019,19,1375,37068657157,-
Vilnius, Užupis,Manufaktūrų g.,6,https://www.aruodas.lt/butai-vilniuje-uzupyje-manufakturu-g-parduodamas-2-ju-kambariu-butas-su-jau-1-2751615/,121500,2531,2,48,1,5,1,26,2018,Blokinis,Centrinis,Įrengtas,Nauja kanalizacija Nauja elektros instaliacija Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Balkonas Terasa Drabužinė,Šaldytuvas Šildomos grindys Virtuvės komplektas Viryklė Plastikiniai vamzdžiai Indaplovė Vonia,Šarvuotos durys Kodinė laiptinės spyna Videokameros,7/10/2019,8/19/2019,7,1182,37068657157,54.677276 25.32038
Vilnius, Žirmūnai,Jurgio Lebedžio g.,6,https://www.aruodas.lt/butai-vilniuje-zirmunuose-jurgio-lebedzio-g-demesio-rugpjucio-22-d-ketvirtadieni-16-1-2769981/,39900,1761,1,22.66,1,5,-,9,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Uždaras kiemas,Balkonas Vieta automobiliui,-,-,8/19/2019,8/19/2019,4,381,37061141190,-
Klaipėda, Varpai,Varpų g.,6,https://www.aruodas.lt/butai-klaipedoje-varpuose-varpu-g-statinio-uzbaigimo-aktu-namas-valstybines-1-2768825/,75000,1657,2,45.26,3,5,23,4B,2019,Mūrinis,Centrinis kolektorinis,Įrengtas,Virtuvė sujungta su kambariu,Drabužinė,Vonia,Kodinė laiptinės spyna,8/14/2019,8/19/2019,-,357,37061499096,55.666036 21.183899
Vilnius, Pilaitė,M. Mažvydo g.,6,https://www.aruodas.lt/butai-vilniuje-pilaiteje-m-mazvydo-g-pastatyti-ir-100-priduoti-butai-martyno-1-2763979/,88200,1449,3,60.86,2,5,11,23,2019,Mūrinis,Centrinis,Dalinė apdaila,-,-,-,-,8/5/2019,8/19/2019,6,635,37062066611,54.711814 25.17743
Vilnius, Užupis,Olandų g.,6,https://www.aruodas.lt/butai-vilniuje-uzupyje-olandu-g-kanso-wwwkansolt-kanso-naujos-1-2763537/,145000,2377,3,61,2,5,-,-,2020,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,8/14/2019,8/14/2019,4,557,37061111588,-
Vilnius, Šnipiškės,Lvovo g.,6,https://www.aruodas.lt/butai-vilniuje-snipiskese-lvovo-g-demesio-s-m-rugpjucio-22-d-1-2727989/,84050,2585,1,32.52,4,6,-,-,2018,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,5/24/2019,8/19/2019,5,1507,37065244980,54.699883 25.270664
Kaunas, Žemutiniai Kaniūkai,Įkalnės aklg.,5,https://www.aruodas.lt/butai-kaune-zemutiniuose-kaniukuose-ikalnes-aklg-parduodamas-naujas-60-kv-m-butas-kvartale-1-2667481/,71234,1252,2,56.88,4,4,11,5,2018,Mūrinis,Dujinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas,Sandėliukas Balkonas Vieta automobiliui,-,Šarvuotos durys Kodinė laiptinės spyna,4/16/2019,8/12/2019,6,1901,37068739883,-
Neringos m.,-,Pervalkos g.,5,https://www.aruodas.lt/butai-neringoje-pervalkos-g-parduodami-puikus-provanso-stiliaus-1-2580901/,220000,3313,4,66.41,1,3,1,44C,2013,Mūrinis,"Elektra, kietu kuru",Įrengtas,-,-,-,-,8/24/2018,8/7/2019,8,5998,37068787366,55.414203 21.09436
Kaunas, Žaliakalnis,Studentų g.,5,https://www.aruodas.lt/butai-kaune-zaliakalnyje-studentu-g-giliu-namai-tai-modernus-6-aukstu-naujos-1-2766367/,77635,1410,3,55.06,3,6,-,8a,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,8/9/2019,8/19/2019,13,1055,37062121876,54.909947 23.946215
Kaunas, Žaliakalnis,Studentų g.,5,https://www.aruodas.lt/butai-kaune-zaliakalnyje-studentu-g-giliu-namai-tai-modernus-6-aukstu-naujos-1-2763247/,62103,1490,2,41.68,3,6,-,8a,2019,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,Uždaras kiemas,-,-,-,8/4/2019,8/19/2019,20,2065,37062121876,54.909947 23.946215
Vilnius, Šnipiškės,Linkmenų g.,5,https://www.aruodas.lt/butai-vilniuje-snipiskese-linkmenu-g-linkmenu-ezerai-gamtos-ir-miesto-1-2649227/,83400,1822,2,45.77,4,9,-,58,2019,Blokinis,Centrinis kolektorinis,Dalinė apdaila,Nauja kanalizacija Nauja elektros instaliacija,Sandėliukas Vieta automobiliui,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,7/24/2019,8/19/2019,49,879,37063778513,-
Vilnius, Šeškinė,Siesikų g.,5,https://www.aruodas.lt/butai-vilniuje-seskineje-siesiku-g-zveryno-panoramos-moderni-bei-siuolaikiska-1-2599477/,71700,1643,2,43.64,1,9,-,14,2019,Kita,Centrinis kolektorinis,Dalinė apdaila,-,Sandėliukas Vieta automobiliui,-,Šarvuotos durys Kodinė laiptinės spyna Videokameros,7/8/2019,8/19/2019,8,1814,37064155013,-
Kaunas, Žaliakalnis,Vaižganto g.,5,https://www.aruodas.lt/butai-kaune-zaliakalnyje-vaizganto-g-galimybe-isirengti-net-tris-miegamuosius-1-2649299/,146990,1870,3,78.59,2,4,-,11,2018,Mūrinis,Centrinis kolektorinis,Dalinė apdaila,-,-,-,-,7/11/2019,8/14/2019,3,647,37061955168,54.894752 23.934497
